start_region,end_region,letter_association
VolarProximal,VolarProximal,TI_Apps_4
VolarIntermediate,VolarIntermediate,TI_Chats_5
VolarDistal,VolarDistal,TI_Climate_2
RadialProximal,RadialProximal,TI_Call_1
RadialIntermediate,RadialIntermediate,TI_Map_6
RadialDistal,RadialDistal,TI_Music_3
VolarProximal,VolarIntermediate,Instagram_4
VolarProximal,VolarDistal,Whatsapp_4
VolarProximal,RadialProximal,Spotify_4
VolarProximal,RadialIntermediate,Radio_4
VolarProximal,RadialDistal,Podcast_4
VolarIntermediate,VolarProximal,Reply_5
VolarIntermediate,VolarDistal,Send_5
VolarIntermediate,RadialProximal,Keyboard_5
VolarIntermediate,RadialIntermediate,SpeechToText_5
VolarIntermediate,RadialDistal,ContactList_5
VolarDistal,VolarProximal,Heater_2
VolarDistal,VolarIntermediate,CarSeatHeater_2
VolarDistal,RadialProximal,Air_2
VolarDistal,RadialIntermediate,AC_2
VolarDistal,RadialDistal,SteeringHeater_2
RadialProximal,VolarProximal,CallAccept_1
RadialProximal,VolarIntermediate,CallReply_1
RadialProximal,VolarDistal,CallReject_1
RadialProximal,RadialIntermediate,MuteMic_1
RadialProximal,RadialDistal,CallingPerson_1
RadialIntermediate,VolarProximal,Destination_6
RadialIntermediate,VolarIntermediate,Search_6
RadialIntermediate,VolarDistal,Recenter_6
RadialIntermediate,RadialProximal,Work_6
RadialIntermediate,RadialDistal,Home_6
RadialDistal,VolarProximal,Pause_3
RadialDistal,VolarIntermediate,Play_3
RadialDistal,VolarDistal,VolumePlus_3
RadialDistal,RadialProximal,NextSong_3
RadialDistal,RadialIntermediate,VolumeMinus_3
