start_region,end_region,letter_association
RadialDistal,RadialDistal,TI_Map_6
RadialIntermediate,RadialIntermediate,TI_Chats_5
RadialProximal,RadialProximal,TI_Apps_4
VolarDistal,VolarDistal,TI_Music_3
VolarIntermediate,VolarIntermediate,TI_Climate_2
VolarProximal,VolarProximal,TI_Call_1
RadialDistal,RadialIntermediate,Work_6
RadialDistal,RadialIntermediate,Home_6
RadialDistal,RadialIntermediate,Search_6
RadialDistal,RadialIntermediate,Destination_6
RadialDistal,RadialIntermediate,Recenter_6
RadialIntermediate,RadialDistal,Reply_5
RadialIntermediate,RadialDistal,Keyboard_5
RadialIntermediate,RadialDistal,ContactList_5
RadialIntermediate,RadialDistal,Send_5
RadialIntermediate,RadialDistal,SpeechToText_5
RadialProximal,RadialDistal,Spotify_4
RadialProximal,RadialDistal,Instagram_4
RadialProximal,RadialDistal,Radio_4
RadialProximal,RadialDistal,Podcast_4
RadialProximal,RadialDistal,Whatsapp_4
VolarDistal,RadialDistal,NextSong_3
VolarDistal,RadialDistal,VolumePlus_3
VolarDistal,RadialDistal,VolumeMinus_3
VolarDistal,RadialDistal,Play_3
VolarDistal,RadialDistal,Pause_3
VolarIntermediate,RadialDistal,Air_2
VolarIntermediate,RadialDistal,Heater_2
VolarIntermediate,RadialDistal,SteeringHeater_2
VolarIntermediate,RadialDistal,CarSeatHeater_2
VolarIntermediate,RadialDistal,AC_2
VolarProximal,RadialDistal,CallReject_1
VolarProximal,RadialDistal,MuteMic_1
VolarProximal,RadialDistal,CallAccept_1
VolarProximal,RadialDistal,CallingPerson_1
VolarProximal,RadialDistal,CallReply_1
