start_region,end_region,letter_association
RadialDistal,RadialDistal,TI_Call_1
RadialIntermediate,RadialIntermediate,TI_Map_6
RadialProximal,RadialProximal,TI_Music_3
VolarDistal,VolarDistal,TI_Chats_5
VolarIntermediate,VolarIntermediate,TI_Climate_2
VolarProximal,VolarProximal,TI_Apps_4
RadialDistal,RadialIntermediate,CallReply_1
RadialDistal,RadialIntermediate,CallingPerson_1
RadialDistal,RadialIntermediate,MuteMic_1
RadialDistal,RadialIntermediate,CallAccept_1
RadialDistal,RadialIntermediate,CallReject_1
RadialIntermediate,RadialDistal,Search_6
RadialIntermediate,RadialDistal,Work_6
RadialIntermediate,RadialDistal,Home_6
RadialIntermediate,RadialDistal,Destination_6
RadialIntermediate,RadialDistal,Recenter_6
RadialProximal,RadialDistal,VolumeMinus_3
RadialProximal,RadialDistal,NextSong_3
RadialProximal,RadialDistal,Pause_3
RadialProximal,RadialDistal,Play_3
RadialProximal,RadialDistal,VolumePlus_3
VolarDistal,RadialDistal,Reply_5
VolarDistal,RadialDistal,Keyboard_5
VolarDistal,RadialDistal,ContactList_5
VolarDistal,RadialDistal,Send_5
VolarDistal,RadialDistal,SpeechToText_5
VolarIntermediate,RadialDistal,SteeringHeater_2
VolarIntermediate,RadialDistal,Heater_2
VolarIntermediate,RadialDistal,CarSeatHeater_2
VolarIntermediate,RadialDistal,Air_2
VolarIntermediate,RadialDistal,AC_2
VolarProximal,RadialDistal,Podcast_4
VolarProximal,RadialDistal,Radio_4
VolarProximal,RadialDistal,Spotify_4
VolarProximal,RadialDistal,Whatsapp_4
VolarProximal,RadialDistal,Instagram_4
