start_region,end_region,letter_association
RadialDistal,RadialDistal,
RadialDistal,RadialIntermediate,
RadialDistal,RadialProximal,
RadialDistal,VolarIntermediate,
RadialDistal,VolarDistal,
RadialDistal,VolarProximal,
RadialIntermediate,RadialDistal,
RadialIntermediate,RadialIntermediate,
RadialIntermediate,RadialProximal,
RadialIntermediate,VolarIntermediate,
RadialIntermediate,VolarProximal,
RadialIntermediate,VolarDistal,
RadialProximal,RadialDistal,
RadialProximal,RadialIntermediate,
RadialProximal,RadialProximal,
RadialProximal,VolarIntermediate,
RadialProximal,VolarDistal,
RadialProximal,VolarProximal,
VolarDistal,RadialDistal,
VolarDistal,RadialIntermediate,
VolarDistal,RadialProximal,
VolarDistal,VolarDistal,
VolarDistal,VolarIntermediate,
VolarDistal,VolarProximal,
VolarIntermediate,RadialDistal,
VolarIntermediate,RadialIntermediate,
VolarIntermediate,RadialProximal,
VolarIntermediate,VolarIntermediate,
VolarIntermediate,VolarDistal,
VolarIntermediate,VolarProximal,
VolarProximal,RadialDistal,
VolarProximal,RadialIntermediate,
VolarProximal,RadialProximal,
VolarProximal,VolarIntermediate,
VolarProximal,VolarDistal,
VolarProximal,VolarProximal,
